name_he,name_lat,source,source_id
צלף קוצני,Capparis spinosa,wildflowers,1
דודא רפואי,Mandragora autumnalis,wildflowers,10
ערברבה שעירה,Epilobium hirsutum,wildflowers,100
עירית צרת-עלים,Asphodelus tenuifolius,wildflowers,1000
לענה חד-זרעית,Artemisia monosperma,wildflowers,1002
סתוונית התשבץ,Colchicum feinbruniae,wildflowers,1003
באשן תמים,Cleome arabica,wildflowers,1004
שרכרך ריחני,Cheilanthes pteridioides,wildflowers,1005
דטורה אכזרית,Datura ferox,wildflowers,1006
מקור-חסידה רומאי,Erodium acauale,wildflowers,1007
חלוק שעיר,Petrorhagia velutina,wildflowers,1008
קחוון החרמון,Anthemis rascheyana,wildflowers,1009
קיקיון מצוי,Ricinus communis,wildflowers,101
בן-חורש רחב עלים,Epipactis helleborine,wildflowers,1010
חבצלת הנגב,Pancratium sickenbergeri,wildflowers,1011
אהל מצוי,Mesembryanthemum nodiflorum,wildflowers,1012
עדעד המדבר,Limonium lobatum,wildflowers,1013
שוש קוצני,Glycyrrhiza echinata,wildflowers,1014
חלבלוב השיח,Euphorbia dendroides,wildflowers,1015
חלבלוב זוחל,Euphorbia serpens,wildflowers,1016
צנינה קוצנית,Exoacantha heterophylla,wildflowers,1017
טוריים קטנים,Diplotaxis viminea,wildflowers,1018
תלתן נאה,Trifolium dasyurum,wildflowers,1019
פעמונית הדורה,Campanula peregrina,wildflowers,102
איריס שחום,Iris atrofusca,wildflowers,1020
דבקון הזית,Viscum cruciatum,wildflowers,1021
גרגרנית לילכית,Trigonella lilacina,wildflowers,1022
שושנתית משורטטת,Rosularia lineata,wildflowers,1023
צורית בלוטית,Sedum rubens,wildflowers,1025
בן-חרצית גזור,Tanacetum santolinoides,wildflowers,1026
שמשון אזוביוני,Helianthemum syriacum,wildflowers,1027
מסמור סיני,Gomphocarpus sinaicus,wildflowers,1028
דמיה לבידה,Pergularia tomentosa,wildflowers,1029
קידה שעירה,Calicotome villosa,wildflowers,103
לפופית רגל-העז,Ipomoea pes-caprae,wildflowers,1030
עוקץ-עקרב מדברי,Heliotropium arbainense,wildflowers,1031
סומקן ענקי,Onosma gigantea,wildflowers,1032
אבוטילון קהה,Abutilon hirtum,wildflowers,1033
חטמית קרחת,Alcea dissecta,wildflowers,1034
חטמית הגליל,Alcea galilaea,wildflowers,1035
כפתור החולות,Neurada procumbens,wildflowers,1036
לחך מלבין,Plantago albicans,wildflowers,1037
קוצן קיפח,Cirsium phyllocephalum,wildflowers,1038
פואנית איטלקית,Putoria calabrica,wildflowers,1039
שום סתווי,Allium tardiflorum,wildflowers,1040
נפית איטלקית,Nepeta italica,wildflowers,1041
ציפורן משתלשל,Dianthus pendulus,wildflowers,1042
קוטב רך,Tribulus mollis,wildflowers,1043
אצבעית רומאית,Dactylorhiza romana,wildflowers,1044
סוויניה עדינה,Savignya parviflora,wildflowers,1045
מסרק מזרחי,Scandix iberica,wildflowers,1046
נשרן הדוחן,Piptatherum miliaceum,wildflowers,1047
נץ-חלב שעיר,Ornithogalum neurostegium,wildflowers,1048
פשתת המכבד,Linum corymbulosum,wildflowers,1049
פעמונית קיפחת,Campanula rapunculus,wildflowers,105
עלקת סגולת-פרחים,Orobanche lavandulacea,wildflowers,1050
דבורנית שחומה,Ophrys fleischmannii,wildflowers,1051
נורית חרוקה,Ficaria ficarioides,wildflowers,1052
מאירית קיצרת-עלים,Maireana brevifolia,wildflowers,1053
איטן מרצעני,Phleum subulatum,wildflowers,1054
בן-חוזרר סוככי,Aria umbellata,wildflowers,1055
עוקץ-עקרב שרוע,Heliotropium supinum,wildflowers,1056
אחילוף צר עלים,Biarum angustatum,wildflowers,1057
כרכום דמשקאי,Crocus damascenus,wildflowers,1058
שרכרך הסלעים,Cheilanthes vellea,wildflowers,1059
שומר פשוט,Foeniculum vulgare,wildflowers,106
חלמונית זעירה,Sternbergia colchiciflora,wildflowers,1060
כרכום גיארדו,Crocus aleppicus,wildflowers,1061
ציפורנית מצוירת,Silene reinwardtii,wildflowers,1062
כרכום נאה,Crocus pallasii,wildflowers,1064
סתוונית החרמון,Colchicum antilibanoticum,wildflowers,1065
סתוונית קִצרת עלים,Colchicum szovitsii subsp. brachyphyllum,wildflowers,1066
אלון חרמוני,Quercus look,wildflowers,1067
עוזרר סיני,Crataegus sinaicus,wildflowers,1068
חיננית רב-שנתית,Bellis perennis,wildflowers,1069
דורבנית התבור,Delphinium ithaburense,wildflowers,107
ארכובית הארזים,Polygonum cedrorum,wildflowers,1070
איקליפטוס המקור,Eucalyptus camaldulensis,wildflowers,1072
בת-מדבר צרת-עלים,Eremobium lineare,wildflowers,1073
קרן-יעל סורית,Chorispora purpurascens,wildflowers,1074
מוריקה מבריקה,Moricandia nitens,wildflowers,1075
מנתור המדבר,Matthiola livida,wildflowers,1076
סילון קוצני,Zilla spinosa,wildflowers,1077
שלחלח האלה,Pseuderucaria clavata,wildflowers,1078
מרבה-חלב נגבי,Polygala negevensis,wildflowers,1079
סייפן סגול,Gladiolus atroviolaceus,wildflowers,108
חרחבינה חרמונית,Eryngium billardierei,wildflowers,1083
שבת ריחני,Anethum graveolens,wildflowers,1084
מלענת ארוכת-מלענים,Taeniatherum crinitum,wildflowers,1085
אכילאה גפורה,Achillea falcata,wildflowers,1086
דרדר גלדני,Centaurea behen,wildflowers,1087
נץ-חלב אזמלני,Ornithogalum lanceolatum,wildflowers,1088
שום שחור,Allium basalticum,wildflowers,1089
איריס הנגב,Iris mariae,wildflowers,109
מקור-חסידה גזור,Erodium cicutarium,wildflowers,1090
זמזומית המדבר,Bellevalia desertorum,wildflowers,1092
כדן נאה,Muscari pulchellum,wildflowers,1093
נורית קטנה,Ranunculus chius,wildflowers,1095
בבונג זהוב,Matricaria aurea,wildflowers,1096
ורוניקת המים,Veronica anagallis-aquatica,wildflowers,1097
נוניאה קהה,Nonea obtusifolia,wildflowers,1098
קרוטלריה מצרית,Crotalaria aegyptiaca,wildflowers,1099
שברק קוצני,Ononis spinosa,wildflowers,11
איריס ירוחם,Iris petrana,wildflowers,110
ברומית מאוגדת,Bromus fasciculatus,wildflowers,1100
תלתן תריסני,Trifolium clypeatum,wildflowers,1101
שום הנגב,Allium rothii,wildflowers,1102
שום אשרסון,Allium aschersonianum,wildflowers,1103
בסיה צמירה,Bassia eriophora,wildflowers,1104
קיסוס החורש,Hedera helix,wildflowers,1105
פרע לבנוני,Hypericum libanoticum,wildflowers,1106
פרע קטן-עלים,Hypericum thymifolium,wildflowers,1107
סנא מדברי,Senna italica,wildflowers,1109
דרדר מצוי,Centaurea iberica,wildflowers,111
זיפן קטן-פרחים,Setaria parviflora,wildflowers,1110
שלמון כוכבני,Cephalaria stellipilis,wildflowers,1111
ריסן דק,Blepharis attenuata,wildflowers,1112
נרדורית מזרחית,Loliolum subulatum,wildflowers,1113
בת-חול ארץ-ישראלית,Ammochloa palaestina,wildflowers,1115
סהרון משתלשל,Cocculus pendulus,wildflowers,1116
מיש דרומי,Celtis australis,wildflowers,1117
שושנת-יריחו אמיתית,Anastatica hierochuntica,wildflowers,1118
פרגה צהובה,Glaucium flavum,wildflowers,112
אוג הבורסקאים,Rhus coriaria,wildflowers,1122
בוצין מזרחי,Verbascum orientale,wildflowers,1123
יקינתונית מעורקת,Hyacinthella nervosa,wildflowers,1124
בן-חרדל מצוי,Eruca sativa,wildflowers,1125
כרפס הביצות,Apium nodiflorum,wildflowers,1126
עבקנה נדיר,Arundo plinii,wildflowers,1127
קוכיה הודית,Bassia indica,wildflowers,1128
גרגרנית גלילנית,Trigonella cylindracea,wildflowers,1129
כחלית ההרים,Ixiolirion tataricum,wildflowers,113
חמציץ קטן,Oxalis corniculata,wildflowers,1130
מרשנטיה רבת-צורות,Marchantia polymorpha,wildflowers,1131
כתלית פורטוגלית,Parietaria lusitanica,wildflowers,1132
טרשנית שרועה,Theligonum cynocrambe,wildflowers,1133
גומא מגובב,Cyperus conglomeratus,wildflowers,1134
אשל הפרקים,Tamarix aphylla,wildflowers,1135
ולריינה איטלקית,Valeriana dioscoridis,wildflowers,1136
דלעת-נחש מצויה,Bryonia cretica,wildflowers,1137
מושיובית הגליל,Mosheovia galilaea,wildflowers,1138
ציפורנית ענפה,Silene dichotoma,wildflowers,1139
יחנוק המדבר,Cistanche tubulosa,wildflowers,114
טמוס מזרחי,Tamus orientalis,wildflowers,1140
חד-שפה מזרחי,Ajuga orientalis,wildflowers,1141
ציבורת ההרים,Dactylis glomerata,wildflowers,1142
קדד קוטבי,Astragalus tribuloides,wildflowers,1143
זיפנוצה מדוקרן,Pennisetum divisum,wildflowers,1144
מרגנית קטנה,Anagallis foemina,wildflowers,1145
תלתן הכפתורים,Trifolium cherleri,wildflowers,1147
ציפורנית צרפתית,Silene gallica,wildflowers,1149
