source_id,name_he,category,price,url
3-רקפות-בסלסלה,סלסלת חורף,צמחים-למרפסת-ולגינה,90.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/3-רקפות-בסלסלה/
אבליה-לבנה,אבליה לבנה,צמחים-למרפסת-ולגינה,115.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אבליה-לבנה/
אגלונמה-אדומה,אגלונמה אדומה,צמחים-לבית-ולמשרד,55.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-אדומה/
אגלונמה-סילבר-קווין,אגלונמה סילבר קווין,צמחים-לבית-ולמשרד,67.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-סילבר-קווין/
אגלונמה-פרידמן,אגלונמה פרידמן,צמחים-לבית-ולמשרד,159.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-פרידמן/
אגלונמה-רד-ולנטיין,אגלונמה רד ולנטיין,צמחים-לבית-ולמשרד,135.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה-רד-ולנטיין/
אגלונמה,אגלונמה ווידורי,צמחים-לבית-ולמשרד,135.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אגלונמה/
אדניום-שושנת-המדבר,אדניום (שושנת המדבר),צמחים-למרפסת-ולגינה,139.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדניום-שושנת-המדבר/
אדנית-חורף,אדנית חורף,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדנית-חורף/
אדננטוס-עציץ-24-סמ,"אדננטוס - עציץ 24 ס""מ",צמחים-למרפסת-ולגינה,192.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדננטוס-עציץ-24-סמ/
אדננטוס,אדננטוס,צמחים-למרפסת-ולגינה,,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אדננטוס/
אוזן-פיל-אלוקסיה-פורטדורה,אוזן פיל - אלוקסיה,צמחים-לבית-ולמשרד,229.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אוזן-פיל-אלוקסיה-פורטדורה/
אוזן-פיל,אוזן פיל - אלוקסיה אודורה,צמחים-לבית-ולמשרד,229.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אוזן-פיל/
אוכמניה-גים,אוכמניה ג'ים,צמחים-למרפסת-ולגינה,129.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אוכמניה-גים/
אוכמניה-קלימקס,אוכמניה קלימקס,צמחים-למרפסת-ולגינה,149.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אוכמניה-קלימקס/
אזלאה-על-גזע,אזלאה,צמחים-לבית-ולמשרד,105.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אזלאה-על-גזע/
אימפריאל-אדום,פילודנדרון אימפריאל כהה,צמחים-לבית-ולמשרד,122.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אימפריאל-אדום/
אימפריאל-ירוק,פילודנדרון אימפריאל ירוק,צמחים-לבית-ולמשרד,89.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אימפריאל-ירוק/
אימפריאל-נרו,אימפריאל נרו,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אימפריאל-נרו/
איצטרובלנית,איצטרובלנית,צמחים-למרפסת-ולגינה,18.9,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/איצטרובלנית/
איקסורה-אדומה,איקסורה אדומה,צמחים-לבית-ולמשרד,215.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/איקסורה-אדומה/
איקסורה,איקסורה,צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/איקסורה/
אכימאה,אכימאה,צמחים-לבית-ולמשרד,119.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אכימאה/
אלוורה-בכלי-קרמיקה-חרס,אלוורה בכלי קרמיקה / חרס,צמחים-למרפסת-ולגינה,140.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/אלוורה-בכלי-קרמיקה-חרס/
אלוורה-דינו,אלוורה דינו,צמחים-לבית-ולמשרד,55.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוורה-דינו/
אלוורה-טיקי-בעציץ-בינוני,אלוורה טיקי בעציץ בינוני,צמחים-לבית-ולמשרד,118.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/אלוורה-טיקי-בעציץ-בינוני/
